Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
49	41.30848	1.6158261	44.02951	39.85444	1000.0	1.437021	3.113452	23.696068	-1.2109767	200000	5.00679e-09	0.26120797	-0.007206153	-0.06964514	0.48304525	0.00523303	0.04375	79.0	132.47262454032898
50	40.52877	0.88738924	41.18191	39.01266	1000.0	1.6480778	3.2433949	24.113588	-1.0356686	204000	-2.1457671e-09	0.23114797	-0.009734266	-0.050198853	0.47673053	0.0064147254	0.0545	79.0	135.46850275993347
51	40.7085	1.9425662	42.785297	38.289955	1000.0	1.5402483	3.198443	24.37596	-0.78312457	208000	-1.0967255e-08	0.10824872	0.0033650293	-0.014918573	0.46785462	0.018165108	0.21875	4.0	138.13809823989868
52	40.667343	2.5804694	44.23135	37.2136	1000.0	1.4538897	3.180246	24.58492	-0.95336103	212000	-1.9073487e-09	0.1301886	-2.0074845e-06	-0.02064728	0.46696886	0.019568767	0.1895	2.0	140.15986704826355
53	40.893795	1.607098	42.6597	38.804092	1000.0	1.7104031	3.2122207	24.754591	-0.18496631	216000	1.0490417e-08	0.122587934	-0.011492089	-0.035488367	0.4664617	0.003499836	0.073	79.0	142.6350326538086
54	42.45686	1.5835655	44.52851	40.19406	1000.0	1.5557414	3.2313685	24.989985	-0.7403479	220000	-6.6757204e-09	0.13848	-0.011179842	-0.026162483	0.4555362	0.0073501086	0.07875	79.0	145.10817575454712
55	40.918823	1.549013	42.12736	38.26255	1000.0	1.6141907	3.2892196	25.271875	-1.0543311	224000	7.7486035e-09	0.11904048	0.0006142851	-0.026181884	0.43611836	0.016264249	0.25525	2.0	147.69111514091492
56	41.501957	2.5295377	44.96036	37.88291	1000.0	1.5465174	3.322097	25.488129	-1.5868592	228000	-5.722046e-09	0.12240295	-0.012294414	-0.009678721	0.43578133	0.0030792516	0.086	79.0	150.68723249435425
57	42.014835	0.7669755	43.21617	41.16734	1000.0	1.6617458	3.332257	25.627747	-0.9268791	232000	-2.3126603e-08	0.060586225	0.0033465682	-0.0102004	0.4218179	0.015305935	0.25825	7.0	152.7926619052887
58	40.913616	1.0965346	42.802837	40.115784	1000.0	1.5806196	3.2682438	25.68323	-1.7066046	236000	1.3351441e-08	0.12075807	0.023203116	-0.019942485	0.420755	0.033094224	0.45575	1.0	155.44084525108337
59	40.463013	1.75668	42.64368	38.570206	1000.0	1.3854401	3.4025488	25.756674	-1.4465526	240000	3.8146974e-09	0.09728059	0.014426963	-0.032441087	0.42051563	0.018032486	0.31875	1.0	158.1067614555359
60	40.380272	1.7798755	42.141403	37.454273	1000.0	1.6912669	3.32642	25.924162	-0.4868772	244000	-1.2874604e-08	0.098414004	0.0030853895	-0.036459386	0.42024815	0.025571175	0.3165	3.0	160.78351831436157
