Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
40	-33.544716	73.06478	23.344578	-321.26166	127.17857	-21.433422	10.599698	18.472147	-34.383728	164000	7.1525574e-10	170.46141	-0.00992767	-40.33304	0.80090004	0.015739355	0.209	8.0	172.85215973854065
41	-86.58563	110.11478	1.3674885	-306.9516	346.0909	-24.890017	8.167713	10.999111	-33.34665	168000	5.9604643e-10	156.14285	-0.01542006	-31.199272	0.79865956	0.017525269	0.249	8.0	176.62055492401123
42	-27.225962	66.56802	27.844637	-377.40915	104.72973	-18.332222	8.554323	12.273337	-32.71673	172000	-1.3232231e-08	309.84036	-0.014587711	-61.393234	0.79561454	0.016317556	0.264	9.0	180.86371231079102
43	-26.631227	73.11069	31.478493	-282.1078	151.8077	-20.377932	11.037378	15.936365	-34.82627	176000	1.6450882e-08	148.8144	-0.013735114	-51.00553	0.7925435	0.016398141	0.22225	9.0	185.0593342781067
44	-44.86331	75.70512	29.673254	-261.46127	172.26315	-18.744091	10.253878	11.997872	-32.32251	180000	2.1457671e-09	164.69067	-0.0143189365	-39.804237	0.78958535	0.016643157	0.20575	6.0	189.3515293598175
45	-14.670573	34.8635	31.975346	-190.86859	94.02564	-13.431756	10.554378	14.929065	-32.300117	184000	1.0967255e-08	131.09071	-0.009600418	-56.94069	0.78771865	0.015213924	0.19675	6.0	193.7594051361084
46	-33.24349	52.63296	1.6425827	-247.44014	115.69231	-14.149313	9.282881	13.146684	-28.925718	188000	8.9406965e-10	199.59557	-0.051700603	-75.71758	0.7861002	0.012500697	0.23875	79.0	197.97135400772095
47	-11.429165	37.762028	34.896915	-176.28426	106.333336	-18.698515	6.4300365	3.0606859	-30.160442	192000	-3.2782554e-09	284.18314	-0.051835302	-111.36485	0.7713476	0.015012325	0.249	69.0	203.41435146331787
48	-13.165276	44.889538	59.219025	-186.40211	128.74193	-9.716094	8.854904	17.442703	-28.046062	196000	-8.5830685e-09	216.75165	-0.01411452	-50.816055	0.7587561	0.016618948	0.2025	8.0	208.24592900276184
49	-27.767393	69.361206	34.726933	-219.9469	145.08	-13.777062	7.737663	12.716405	-27.073605	200000	-1.8417834e-08	288.11743	-0.012452147	-85.59216	0.7574854	0.016028496	0.238	8.0	212.47765922546387
50	-16.173355	51.069397	59.38018	-258.68503	113.942856	-10.34533	10.610516	17.857937	-34.100616	204000	4.7683715e-09	335.03802	-0.012993841	-70.03119	0.7555151	0.017760105	0.20425	7.0	216.83698439598083
51	-17.700254	47.761482	76.99547	-177.7713	144.34616	-14.83126	10.370716	14.922746	-32.192535	208000	2.861023e-09	232.20816	-0.011557019	-85.165634	0.753558	0.016650515	0.21425	7.0	220.47806429862976
52	-11.572843	41.323463	38.591057	-149.4782	139.84	-12.537077	8.626594	11.841145	-27.010838	212000	8.5830685e-09	118.93092	-0.013951565	-25.676712	0.75145304	0.016831791	0.2295	9.0	224.16531085968018
53	-11.101597	43.0753	54.103687	-169.7243	158.8421	-10.240319	7.803068	10.779471	-25.714073	216000	-6.6757204e-09	149.10104	-0.014404464	-43.227356	0.74853843	0.016269758	0.1985	7.0	228.0606369972229
54	-17.34761	51.571053	45.655346	-138.51093	285.57144	-11.745905	8.644638	13.411976	-23.288853	220000	-8.106232e-09	86.71577	-0.012687444	-23.27229	0.7460951	0.016620409	0.2435	8.0	231.989648103714
55	-30.565235	54.889355	24.691483	-152.50768	215.28572	-9.338797	7.708809	12.228902	-20.443584	224000	2.7418137e-09	152.08542	-0.01423919	-57.15159	0.7430835	0.01698988	0.2515	8.0	236.55651807785034
56	-13.591091	32.955864	40.365887	-115.49745	177.77272	-10.998704	6.1224847	10.838728	-26.096846	228000	2.7656554e-08	120.58419	-0.01100297	-31.009514	0.7403429	0.0153861	0.1625	6.0	240.70408487319946
57	-0.34832165	27.598377	61.20089	-83.8235	85.022224	-4.784612	6.071351	11.399461	-21.16165	232000	-7.152557e-09	275.46667	-0.01265347	-45.370636	0.73823434	0.017145583	0.2245	6.0	244.6881730556488
58	-11.377425	44.98922	74.201065	-148.83102	180.40909	-6.8648343	7.517135	15.9156685	-22.296171	236000	-8.8214875e-09	202.96259	-0.051543806	-51.908905	0.7362304	0.013429761	0.2365	79.0	249.51225876808167
59	4.572825	35.036285	65.68228	-102.12047	124.7	-1.4124523	9.082539	18.481657	-21.13011	240000	1.8179417e-08	260.28534	-0.014051857	-67.77467	0.7233764	0.015433109	0.245	8.0	253.2807023525238
60	0.8072542	28.583479	31.746622	-95.34142	146.27272	-5.2711782	5.6726294	14.728767	-19.597223	244000	4.768372e-10	79.09689	-0.013433521	-20.484474	0.72208387	0.015414055	0.19475	6.0	257.79292821884155
61	0.46974137	28.372032	85.22703	-62.57072	105.210526	-1.5462707	6.5507445	15.310705	-15.84293	248000	-2.9206275e-09	244.69582	-0.011562938	-37.54048	0.72043055	0.016295746	0.21275	6.0	262.5900340080261
62	2.9919941	43.59792	62.339615	-148.86826	155.45	-5.2920675	8.565199	17.345232	-25.517561	252000	7.152557e-09	276.76172	-0.011775816	-53.076904	0.7186397	0.016004412	0.234	8.0	267.2770698070526
