Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
64	414.29346	221.44745	1092.8862	223.4618	297.23077	105.33014	27.210747	118.83418	-8.009798	260000	2.9802323e-09	142.39035	-0.0395626	-28.259773	0.79014826	0.01423503	0.23875	79.0	192.44235038757324
65	288.55038	52.50457	442.58826	162.56575	173.86957	95.31389	30.906157	117.19343	-8.104525	264000	2.861023e-09	118.76849	-0.011469638	-36.883293	0.78834146	0.017073056	0.15825	7.0	195.21111416816711
66	308.06256	56.786327	447.3069	225.93222	183.85715	98.72975	28.625513	118.40579	21.774961	268000	-3.1471252e-08	131.58661	-0.0064831567	-84.10257	0.78757834	0.015370245	0.14825	7.0	198.38419246673584
67	330.38574	66.05298	477.87726	245.33156	204.8421	105.30252	26.80747	119.49956	21.940765	272000	1.168251e-08	73.3701	-0.011853888	-3.872223	0.7869408	0.016099894	0.224	8.0	201.12903714179993
68	309.5432	86.37703	519.0162	55.217415	194.15	102.19089	31.23554	119.74335	-8.61411	276000	2.2172928e-08	125.170654	-0.035446513	-73.03436	0.7864244	0.009492909	0.2045	79.0	204.22258281707764
69	298.78857	45.679302	425.87802	220.79054	176.04546	102.55098	28.990894	120.12654	21.718098	280000	5.9604646e-09	59.50247	-0.012913138	-15.657722	0.78598195	0.015351366	0.199	9.0	207.35379457473755
70	304.7985	78.736694	523.80035	152.66187	190.8	101.443474	32.44235	120.74137	-7.632785	284000	-1.7166137e-08	113.07984	-0.039086424	-47.781303	0.7856503	0.015033455	0.21075	75.0	210.6981611251831
71	318.85748	94.89399	605.7076	199.58633	194.1	103.39125	29.078648	120.91797	15.188076	288000	1.2397766e-08	152.67842	-0.038420726	-57.09108	0.7852721	0.015056999	0.2275	76.0	214.21002888679504
72	297.77606	56.09302	425.49078	198.64159	176.27272	103.38486	29.21052	121.0724	21.220013	292000	-1.37090685e-08	58.63373	-0.0466509	-7.5060196	0.7841658	0.014045481	0.25075	79.0	217.0440638065338
73	325.05096	50.67798	403.10202	217.19012	194.6	104.95228	28.518696	121.48639	21.105272	296000	3.9339065e-09	54.029873	-0.013792777	-7.5296097	0.77871263	0.015027084	0.228	9.0	220.3244104385376
74	313.77707	64.485245	486.6889	205.0639	185.90475	105.810616	28.679783	122.36171	21.133224	300000	-2.2649764e-09	54.81015	-0.011273617	-3.799286	0.7784108	0.015883544	0.21125	8.0	223.43705487251282
75	317.36713	84.40265	594.0138	242.18054	188.71428	106.00219	28.974346	122.8698	21.030987	304000	1.6212464e-08	51.178352	-0.046784755	-3.4146576	0.7767329	0.013286542	0.25275	79.0	226.93054628372192
76	303.48456	50.55335	452.86542	225.91223	173.43478	103.95288	29.914772	122.944016	20.777525	308000	4.529953e-09	54.09678	-0.04342201	-8.8652115	0.7653886	0.015110771	0.228	64.0	229.8615698814392
77	310.7444	57.819202	481.40875	189.07405	180.28572	103.42746	33.54117	123.89155	-6.9769897	312000	9.298325e-09	161.2392	-0.012541588	-103.52222	0.7684165	0.015175348	0.27	9.0	232.40740084648132
78	304.9792	68.77067	518.49927	200.95988	181.5	103.18102	30.706593	124.48713	20.71694	316000	-3.0994416e-09	133.88832	-0.012619627	-42.278854	0.76894057	0.016869176	0.23375	8.0	234.86293053627014
79	351.71826	63.51836	459.4474	234.41557	214.77777	105.3168	29.227573	124.00331	20.363155	320000	-1.7881393e-09	137.68982	-0.04007179	-69.19258	0.7692028	0.015010783	0.2505	73.0	237.70361423492432
80	330.95337	71.35171	491.7458	237.66322	197.75	109.07811	28.00638	124.39668	20.295824	324000	-1.9073487e-09	64.63961	-0.035352424	-15.331276	0.752292	0.015123309	0.18975	44.0	240.8520278930664
81	294.98004	46.868748	394.6428	220.54637	161.75	103.19434	32.10002	124.93496	20.116201	328000	4.2915342e-09	124.626884	-0.0431025	-31.423248	0.7446309	0.015051322	0.22725	63.0	243.6979901790619
82	309.8736	53.819324	461.0456	209.16806	173.21739	106.2483	31.934568	126.38861	20.24023	332000	-1.1205673e-08	91.20828	-0.013587518	-12.656822	0.7474641	0.015159899	0.1825	9.0	246.9569447040558
